id,source_url,business_name,business_name_ar,category_slug,category_ar,city_slug,governorate_ar,phone,email,website,facebook_url,address,address_ar,raw_html_hash,source_tier,scraped_at,matched_facets
387,https://yellowpages.com.eg/en/profile/el-kahlawy-factory/2147,El Kahlawy Factory,مصنع الكحلاوى,,,giza,,"02-3539-1285, 0100-6678-767, 02-3539-1284",,http://www.elkahlawy.com/,https://www.facebook.com/ElKahlawyfactory,"Km 28.8 Cairo Alex Desert Rd., Abou rawash, Giza                                                    Behind El Nabaa Newspaper","كم 28.8 طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة                                                    خلف جريدة النبأ",16d9e7884cea00107b535bf9c872ec7d,1,2026-05-12T20:19:28.255186+00:00,"category: Cable & Wire, city: Giza, keyword: مصنع"
386,https://yellowpages.com.eg/en/profile/el-islameya-factory-for-glass/630789,El Islameya Factory For Glass,مصنع الاسلامية للزجاج,,,cairo,,"0112-4333-346, 0102-9937-104, 0155-4345-264",,,,"St. 15, Off El khamseen Main St., Behind Mary Morcous Church, Gesr el suez, Cairo                                                    Behind Mary Morcous Church","ش 15, متفرع من ش الخمسين الرئيسى, خلف كنيسة مارى مرقص, جسر السويس, القاهرة                                                    خلف كنيسة مارى مرقص",4300b02e3d8c65cd833131b69a71772e,1,2026-05-12T20:19:21.947719+00:00,"category: Glass, city: Cairo, keyword: مصنع"
383,https://yellowpages.com.eg/en/profile/el-horeya-factory-for-fire-fighting/151948,El Horeya Factory For Fire Fighting,مصنع الحرية للاطفاء,,,alexandria,,"03-4976-721, 03-4976-721",,,,"2 Tomanbay St.  Off Abdel Moneim St., El attarin, Alexandria                                                    Beside Alexandria Old Security Directorate","2 ش طومانباى  متفرع من ش عبد المنعم, العطارين, الاسكندرية                                                    بجوار مديرية امن اسكندرية القديمة",b2acde087ee7c0c67756b7b796cd5e8d,1,2026-05-12T20:18:34.800836+00:00,"category: Fire Fighting, city: Alexandria, keyword: مصنع"
381,https://yellowpages.com.eg/en/profile/el-hoda-&-el-nour-factory/564845,El Hoda & El Nour Factory,مصنع الهدى والنور,,,cairo,,0101-9711-956,,,,"7 Mohamed Salah St., Kafr El Shorafa, El marg, Cairo","7 ش محمد صلاح - كفر الشرفا, المرج, القاهرة",01172720047b21cfd607ac1be94698e1,1,2026-05-12T20:18:07.785240+00:00,"category: Carton & Corrugated Products, city: Cairo, keyword: مصنع"
380,https://yellowpages.com.eg/en/profile/el-helb-factory/181439,El Helb Factory,مصنع الهلب,,,cairo,,"02-2685-2320, 02-2257-3413",,,,"6 Selim Abdou St., Abbasseya, Cairo","6 ش سليم عبده, عباسية, القاهرة",51537cb7ea526a6a56eee5e0fadf456b,1,2026-05-12T20:17:53.306177+00:00,"category: Metal Products and Machinery, city: Cairo, keyword: مصنع"
378,https://yellowpages.com.eg/en/profile/el-harrania-factory-for-hand-made-carpet/175240,El Harrania Factory For Hand Made Carpet,مصنع الحرانية للسجاد اليدوى,,,giza,,"02-3770-8070, 0122-5112-624, 0122-3194-192, 02-3770-8187",,http://www.handmadecarpetegypt.com/,,"189 Saqara Rd., El haram, Giza","189 طريق سقارة, الهرم, الجيزة",37664f4979c30dab7ca7ca422f7b2bd4,1,2026-05-12T20:17:25.283509+00:00,"category: Carpets & Rugs, city: Giza, keyword: مصنع"
373,https://yellowpages.com.eg/en/profile/el-hamd-factory-for-electrostatic-paints/419494,El Hamd Factory For Electrostatic Paints,مصنع الحمد للدهانات الالكتروستاتيك,,,alexandria,,"0122-5960-528, 0127-7688-087",,,,"Mostafa Kamel St., El asafra kebly, Alexandria                                                    Near To Al Mansour For Trade & Distribution - Seclam","ش مصطفى كامل, العصافرة قبلى, الاسكندرية                                                    قريب من المنصور للتجارة والتوزيع - سيكلام",c9e42f1b8fd2a1ee60a5f7ec411309fa,1,2026-05-12T20:16:19.561544+00:00,"category: Paint and Coating, city: Alexandria, keyword: مصنع"
372,https://yellowpages.com.eg/en/profile/el-hamd-factory/427381,El Hamd Factory,مصنع الحمد,,,giza,,"0122-6474-713, 0122-6474-713",,,,"Km 28,, Abou rawash, Giza                                                    Behind Toyota Maintenanc Center","كم 28 -, ابو رواش, الجيزة                                                    خلف مركز صيانة تويوتا",455b57383fc902b9ed20f2875d78ecd2,1,2026-05-12T20:16:07.724618+00:00,"category: Pipes, Tubes & Pipelines, city: Giza, keyword: مصنع"
371,https://yellowpages.com.eg/en/profile/el-hamd-factory/616663,El Hamd Factory,مصنع الحمد,,,giza,,0114-7661-141,,,,"3 El Rihany St., Kafr Tohormos, Faisal, Giza                                                    Beside Kamena Products Corporation","3 ش الريحانى, كفر طهرمس, فيصل, الجيزة                                                    بجوار كامينا برودكتس كوربوريشن",9d9429e641fc5d0069511729ab220f17,1,2026-05-12T20:15:53.374627+00:00,"category: Textiles, city: Giza, keyword: مصنع"
370,https://yellowpages.com.eg/en/profile/el-hamd-factory/141255,El Hamd Factory,مصنع الحمد,,,cairo,,02-2426-0702,,,,"block 54, , El zawia el hamra, Cairo","بلوك 54 - , الزاوية الحمراء, القاهرة",4b7b3769c63664685d1c6c3d2e9bbd61,1,2026-05-12T20:15:43.242836+00:00,"category: Clothing Factories & Wholesalers, city: Cairo, keyword: مصنع"
369,https://yellowpages.com.eg/en/profile/el-halabi-factory-for-syrian-fashion/544306,El Halabi Factory For Syrian Fashion,مصنع الحلبى للازياء السورية,,,cairo,,"0102-3252-766, 0114-0605-557, 0121-0105-471",,,https://www.facebook.com/abouras.co,"5 El Saada St., Mostafa Hafez St., Ain shams el sharkeya, Cairo                                                    Beside Faculty Of Engineering, Helwan University","5 ش السعادة, متفرع من ش مصطفى حافظ, عين شمس الشرقية, القاهرة                                                    بجوار كلية الهندسة - جامعة حلوان",b25ba3a7f221f79139b76a3fcff6c0d7,1,2026-05-12T20:15:23.877441+00:00,"category: Clothing Shops, city: Cairo, keyword: مصنع"
368,https://yellowpages.com.eg/en/profile/el-haj-mahmoud-factory/131259,El Haj Mahmoud Factory,مصنع الحاج محمود,,,cairo,,02-2395-3474,,,,"4   Atfet El Qady, Off El Sheikh Dorgham St., Downtown, Cairo","4   عطفة القاضى - متفرع من ش الشيخ درغام, وسط البلد, القاهرة",8ee7d6c961e8aaa78ffeba4698db1d8b,1,2026-05-12T20:15:08.020966+00:00,"category: Computer Hardware, city: Cairo, keyword: مصنع"
367,https://yellowpages.com.eg/en/profile/el-haggan-factory-for-perfumes-&-cosmetics/43185,El Haggan Factory For Perfumes & Cosmetics,مصنع الهجان للعطور ومستحضرات التجميل,,,giza,,"02-3833-5087, 0100-1802-601, 0122-3104-268",,,,"Plot 28, , 4Th Industrial Zone, Industrial Zone, 6th of october, Giza","القطعة 28 -  - المنطقة الصناعية الرابعة, المنطقة الصناعية, السادس من اكتوبر, الجيزة",bc24cc087bd97d8adea91d056a976783,1,2026-05-12T20:14:53.692798+00:00,"category: Perfumes, city: Giza, keyword: مصنع"
366,https://yellowpages.com.eg/en/profile/el-hady-factory-for-marble-&-granite/147399,El Hady Factory For Marble & Granite,مصنع الهادى للرخام والجرانيت,,,cairo,,"0122-2167-406, 0100-3903-040, 0100-2167-406",,,,"industrial Zone, El Arady El Iranya, El bassateen, Cairo","المنطقة الصناعية - الاراضى الايرانية, البساتين, القاهرة",182731788305998ea65f25bc45a83399,1,2026-05-12T20:14:34.973068+00:00,"category: Marble and Granite, city: Cairo, keyword: مصنع"
365,https://yellowpages.com.eg/en/profile/el-hadeeth-plastic-factory/161728,El Hadeeth Plastic Factory,مصنع البلاستيك الحديث,,,giza,,02-3833-4837,,,,"1st industrial Zone, 6th of october, Giza","المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة",ee4492bd6e07c428c84c358e00aeb054,1,2026-05-12T20:14:17.841046+00:00,"category: Plastic & Rubber, city: Giza, keyword: مصنع"
364,https://yellowpages.com.eg/en/profile/el-habib-factory/587887,El Habib Factory,مصنع الحبيب,,,giza,,0122-7907-478,,,,"El Kasr St.  Off El Qawmeya El Arabeya St., El warak, Giza                                                    Behind Nabea El Elm School","ش القصر  متفرع من ش القومية العربية, الوراق, الجيزة                                                    خلف مدرسة نبع العلم",4230609a1aabf2b9789a3071391a434a,1,2026-05-12T20:14:06.826837+00:00,"category: Clothing Factories & Wholesalers, city: Giza, keyword: مصنع"
363,https://yellowpages.com.eg/en/profile/el-gomhoureya-factory-for-rehabilitation-supplies/8434,El Gomhoureya Factory For Rehabilitation Supplies,مصنع الجمهورية للاجهزة التعويضية,,,cairo,,"02-2392-9276, 02-2393-8880",,,,"11 Gawad Hosny St., Off Roshdy St., Abdin, Cairo                                                    In Front Of Co-Operation Gas Station","11 ش جواد حسنى, متفرع من ش رشدى, عابدين, القاهرة                                                    امام بنزينة التعاون للبترول",c8ea3cb23c8e89460ecdf6f378e8982b,1,2026-05-12T20:13:56.542039+00:00,"category: Artificial Limbs, city: Cairo, keyword: مصنع"
362,https://yellowpages.com.eg/en/profile/el-gomhoureya-factory/34162,El Gomhoureya Factory,مصنع الجمهورية,,,alexandria,,03-4875-297,,,,"26 Bab El Karasta St., Al laban, Alexandria","26 ش باب الكراستة, اللبان, الاسكندرية",39319bff54c1fb0057644f12171845e9,1,2026-05-12T20:13:44.074167+00:00,"category: Carpenters & Equipment, city: Alexandria, keyword: مصنع"
361,https://yellowpages.com.eg/en/profile/el-ghadir-pharma-factory-for-packaging-&-food-industries/589961,El Ghadir Pharma Factory For Packaging & Food Industries,مصنع الغدير فارما للتعبئة والتغليف والصناعات الغذائية,,,alexandria,,0100-3264-616,,,,"4th St., Off El Kabblat St., Amreya, Alexandria                                                    In Front Of Salomel For Formaika","ش 4, متفرع من ش الكابلات, العامرية, الاسكندرية                                                    امام مصنع سالوميل للفورمايكا",05cc736cb2cbfb22452e611895ff512c,1,2026-05-12T20:13:34.579680+00:00,"category: Candy & Confectionery, city: Alexandria, keyword: مصنع"
358,https://yellowpages.com.eg/en/profile/el-gehad-factory-for-bardorat-&-tiles/189465,El Gehad Factory For Bardorat & Tiles,مصنع الجهاد للبردورات والبلاط,,,giza,,"02-3820-0040, 0122-2124-039, 02-3820-0040",,,,"plot 140, Rd. 14, 1st industrial Zone, 6th of october, Giza","القطعة 140 - ش 14 - المنطقة الصناعية الاولى, السادس من اكتوبر, الجيزة",c2857fac749b878d8a972dffb04dc73d,1,2026-05-12T20:13:01.938706+00:00,"category: Tiles, city: Giza, keyword: مصنع"
357,https://yellowpages.com.eg/en/profile/el-gazzar-aluminum-factory/386236,El Gazzar Aluminum Factory,مصنع الجزار للالومنيوم,,,giza,,"0100-1865-732, 02-3820-2430, 0122-3497-942, 0100-1865-732",,,,"Plot 16/G, , 2Nd Industrial Zone, Industrial Zone, 6th of october, Giza                                                    Beside Universal Factory","القطعة 16/ج -  - المنطقة الصناعية الثانية, المنطقة الصناعية, السادس من اكتوبر, الجيزة                                                    بجوار مصنع يونيفرسال",bb726f174dbd9dec9823d6b6cc93866d,1,2026-05-12T20:12:50.836577+00:00,"category: Aluminum, city: Giza, keyword: مصنع"
356,https://yellowpages.com.eg/en/profile/el-gawhara-fodder's-factory/139875,El Gawhara Fodder's Factory,مصنع الجوهرة للاعلاف,,,cairo,,02-2502-2606,,http://www.el-gawhara.com/,,"44 El Ganayen St., Kafr El Elw, Helwan, Cairo","44 ش الجناين - كفر العلو, حلوان, القاهرة",62dacb11ab09402ab4b6a23ac81519a7,1,2026-05-12T20:12:40.393488+00:00,"category: Poultry Farms, city: Cairo, keyword: مصنع"
355,https://yellowpages.com.eg/en/profile/el-gawhara-factory/440652,El Gawhara Factory,مصنع الجوهرة لتصنيع المايكا - م. عمرو صلاح,,,cairo,,"0100-1023-970, 0114-9927-911",,,,"9   Extention Of El Gazaier St., El bassateen, Cairo                                                    In Front Of El Basateen Club","9   امتداد ش الجزائر, البساتين, القاهرة                                                    امام نادى البساتين",668cddb34489e4606e88f7365beeb390,1,2026-05-12T20:12:33.570736+00:00,"category: Refractories, city: Cairo, keyword: مصنع"
352,https://yellowpages.com.eg/en/profile/el-gamal-factory-for-engineering-industries/685715,El Gamal Factory For Engineering Industries,مصنع الجمل للصناعات الهندسية,,,cairo,,"0114-4575-256, 0106-5565-584",,,,"Plot 37, El Robiky - 250 Fadan Zone, Badr city, Cairo","القطعة 37, الروبيكى - منطقة 250 فدان, مدينة بدر, القاهرة",230b74f259c90f48cddd7679ac7a2018,1,2026-05-12T20:11:55.877682+00:00,"category: Aluminum, city: Cairo, keyword: مصنع"
351,https://yellowpages.com.eg/en/profile/el-gamal-authentic-&-ethnic-handmade-design/127141,El Gamal Authentic & Ethnic Handmade Design,مصنع الجمل للمصنوعات الجلدية,,,giza,,"02-3702-6691, 0106-4868-838, 0100-5390-016",,,,"3 Sayed Abou El Gheit St., Boulak el dakrour, Giza","3 ش سيد ابو الغيط, بولاق الدكرور, الجيزة",b5faf64f29b1ada154d12bdfdf50166a,1,2026-05-12T20:11:35.961367+00:00,"category: Leather and Tanning, city: Giza, keyword: مصنع"
350,https://yellowpages.com.eg/en/profile/el-gamaa-factory/259026,El Gamaa Factory,مصنع الجامعة,,,alexandria,,03-3934-826,,,,"56 Masged El Hadary St., Moharram bey, Alexandria","56 ش مسجد الحضرى, محرم بك, الاسكندرية",0b97755666ea7ae4450566ab73423612,1,2026-05-12T20:11:21.171219+00:00,"category: Glass, city: Alexandria, keyword: مصنع"
348,https://yellowpages.com.eg/en/profile/el-forsan-factory-for-sanitary-ware-industry-&-plastic/187832,El Forsan Factory For Sanitary Ware Industry & Plastic,مصنع الفرسان لصناعة الادوات الصحية والبلاستيك,,,cairo,,"02-2283-3178, 0100-1807-284, 02-2283-3178",,,,"7 El Derwy St., Helmeyet el zaitoun, Cairo","7 ش الدروى, حلمية الزيتون, القاهرة",5430bcc03abf2f27793bf6ddb7589983,1,2026-05-12T20:10:53.265536+00:00,"category: Plastic & Rubber, city: Cairo, keyword: مصنع"
347,https://yellowpages.com.eg/en/profile/el-forsan-factory-for-clothes/562366,El Forsan Factory For Clothes,مصنع الفرسات للملابس,,,cairo,,"0111-1861-563, 0100-1736-276",,,,"157 Fathy El Abasery St., El marg, Cairo","157 ش فتحى الاباصيرى, المرج, القاهرة",aa83697c998fea2c14b84050f2b4a61c,1,2026-05-12T20:10:35.792755+00:00,"category: Clothing Shops, city: Cairo, keyword: مصنع"
345,https://yellowpages.com.eg/en/profile/el-foll-factory/24939,El Foll Factory,مصنع الفل,,,alexandria,,"03-3931-968, 0122-3382-959",,,,"49 El Horreya Rd., Raml station, Alexandria                                                    Behind Amir Cinema","49 طريق الحرية, محطة الرمل, الاسكندرية                                                    بجوار سينما امير",6e07e56b5f452b0aae8ce441d36257f5,1,2026-05-12T20:10:05.032162+00:00,"category: Shoes & Bags Retail, city: Alexandria, keyword: مصنع"
342,https://yellowpages.com.eg/en/profile/el-fath-factory/416061,El Fath Factory,مصنع الفتح,,,alexandria,,0128-6724-631,,,,"Abbis 6 Village, Abbis, Alexandria","قرية ابيس 6, ابيس, الاسكندرية",23e69b799b3f62a3e45ed765091e56c0,1,2026-05-12T20:09:15.445881+00:00,"category: Cosmetics, city: Alexandria, keyword: مصنع"
341,https://yellowpages.com.eg/en/profile/el-fath-el-mobin-factory-for-plastic/147883,El Fath El Mobin Factory For Plastic,مصنع الفتح المبين للبلاستيك,,,giza,,"02-3831-2076, 0100-1955-210",,,,"Plot 140, , Carnival Industrial Complex, 3rd Industrial Zone, 6th of october, Giza","القطعة 140 -  - مجمع كرنفال الصناعى - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة",12c92a5ab32e919bf9a75436d3465051,1,2026-05-12T20:08:57.562784+00:00,"category: Plastic & Rubber, city: Giza, keyword: مصنع"
340,https://yellowpages.com.eg/en/profile/el-fath-el-aziz-factory/186761,El Fath El Aziz Factory,مصنع الفتح العزيز,,,alexandria,,0122-2917-064,,,,"Plot 7,18, , South 3rd Industrial Zone, New borg el arab, Alexandria                                                    Behind Lecico Egypt","القطعة 7 ، 18 -  - جنوب المنطقة الصناعية الثالثة, برج العرب الجديدة, الاسكندرية                                                    خلف مصنع ليسيكو مصر",739215266e47d4040842fe2b8e1107a3,1,2026-05-12T20:08:44.274054+00:00,"category: Can Manufacturers, city: Alexandria, keyword: مصنع"
338,https://yellowpages.com.eg/en/profile/el-fares-factory-for-uniform/680671,El Fares Factory For Uniform,مصنع الفارس للزى المدرسى واليونيفورم,,,alexandria,,"0120-1758-922, 0127-9935-053, 0128-5922-902, 0128-6124-425",,,,"Mostafa Kamel St.,, Ras elsoda, Alexandria                                                    Beside Edfina","ش مصطفى كامل, الرأس السوداء, الاسكندرية                                                    بجوار شركة ادفينا",c61c3c506b6c51077caf760e21b94a19,1,2026-05-12T20:08:11.091419+00:00,"category: Uniforms, city: Alexandria, keyword: مصنع"
337,https://yellowpages.com.eg/en/profile/el-faramawy-factory-for-tiles-&-interlock/631061,El Faramawy Factory For Tiles & Interlock,مصنع الفرماوى للبلاط والانترلوك,,,cairo,,"0100-8584-003, 0127-1329-228, 0115-1033-825",,,http://www.facebook.com/%D9%85%D8%B5%D9%86%D8%B9-%D8%A8%D9%84%D8%A7%D8%B7-%D8%A7%D9%84%D9%81%D8%B1%D9%85%D8%A7%D9%88%D9%8A-%D9%84%D9%84%D8%A8%D9%84%D8%A7%D8%B7-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%B1%D9%84%D9%88%D9%83-%D9%88%D8%A7%D9%84%D9%85%D8%B2%D8%A7%D9%8A%D9%83%D9%88-%D9%88%D8%A7%D9%84%D8%A8%D9%86%D8%AF%25,"Extension Of Mohamed Naguib, Behind Total Gas Station, El marg, Cairo","نهاية ش محمد نجيب, خلف بنزينه توتال, المرج, القاهرة",723b1d568124dc07140ad080ec3b9566,1,2026-05-12T20:07:59.966827+00:00,"category: Tiles, city: Cairo, keyword: مصنع"
336,https://yellowpages.com.eg/en/profile/el-faramawy-factory-for-clothes/569623,El Faramawy Factory For Clothes,مصنع الفرماوى للملابس,,,giza,,"02-3798-9013, 0100-5180-228, 0100-1977-849",,,,"1 Said Gharib Passage, , Kerdasa, Giza","1 ممر سعيد غريب - , كرداسة, الجيزة",121428d69eb89290a1b83b02a0754950,1,2026-05-12T20:07:50.990954+00:00,"category: Clothing Shops, city: Giza, keyword: مصنع"
335,https://yellowpages.com.eg/en/profile/el-fanar-factory/545212,El Fanar Factory,مصنع الفنار للفرش,,,alexandria,,0122-5165-131,,,,"Moharram Bey El Qabbary High Rd., 3rd Industrial Zone, El mansheya el gadida, Alexandria","طريق محرم بك القبارى السريع - المنطقة الصناعية الثالثة, المنشية الجديدة, الاسكندرية",b6cbd6d7c85b755ed78ba1e6416ac1c3,1,2026-05-12T20:07:31.757982+00:00,"category: Paint and Coating, city: Alexandria, keyword: مصنع"
334,https://yellowpages.com.eg/en/profile/el-fahd-factory-for-ribbons/1451,El Fahd Factory For Ribbons,مصنع الفهد للاشرطة النسيجية,,,cairo,,"02-2236-1987, 02-2236-4770, 02-2235-6285, 02-2231-6465, 02-2233-7576",,,,"6 Nekola Kahla St., Ghamrah, Cairo","6 ش نقولا كحلا, غمره, القاهرة",66dd38e9d363ccceb9f37c82da65762d,1,2026-05-12T20:07:15.079448+00:00,"category: Clothing Accessories, city: Cairo, keyword: مصنع"
333,https://yellowpages.com.eg/en/profile/el-fagr-plastic-factory/306893,El Fagr Plastic Factory,مصنع الفجر للبلاستيك,,,giza,,0122-1544-400,,,,"Abou Khaled St.  Off Dr. Mohamed Fouad Said St., El Omraneya El Gharbeya, El haram, Giza","ش ابو خالد  متفرع من ش د. محمد فؤاد سعيد, العمرانية الغربية, الهرم, الجيزة",40d787170e0d290ccef205b34895983d,1,2026-05-12T20:07:03.005322+00:00,"category: Plastic & Rubber, city: Giza, keyword: مصنع"
332,https://yellowpages.com.eg/en/profile/el-esraa-tex-factory/181430,El Esraa Tex Factory,مصنع الاسراء تكس,,,cairo,,"0100-1640-841, 0100-5266-801",,,,"Km 18, , Cairo ism. desert rd., Cairo","كم 18 - , طريق مصر الاسماعيلية الصحراوى, القاهرة",ab650cd272fa168134bcbbe9cd910f5e,1,2026-05-12T20:06:49.329967+00:00,"category: Bedding, city: Cairo, keyword: مصنع"
331,https://yellowpages.com.eg/en/profile/el-esraa-factory-for-clothes/562393,El Esraa Factory For Clothes,مصنع الاسراء للملابس,,,cairo,,0100-7385-177,,,,"6 Mahmoud Mohamed St., El marg, Cairo","6 ش محمود محمد, المرج, القاهرة",dfff12cca67e55f26c159f7d47d96108,1,2026-05-12T20:06:36.274230+00:00,"category: Clothing Factories & Wholesalers, city: Cairo, keyword: مصنع"
329,https://yellowpages.com.eg/en/profile/el-empratour-factory/544913,El Empratour Factory,مصنع الامبراطور,,,cairo,,0100-5034-837,,,,"Ahmed Helmy St., Shoubra, Cairo","ش احمد حلمى, شبرا, القاهرة",e2ede12fa1b030437c4df5b06b4fac65,1,2026-05-12T20:06:11.349082+00:00,"category: Plastic & Rubber, city: Cairo, keyword: مصنع"
328,https://yellowpages.com.eg/en/profile/el-eman-factory/202605,EL Eman Factory,مصنع الايمان,,,cairo,,"02-2591-0719, 02-2591-0719",,,,"56 habib shalaby st., El zaher, Cairo","56 ش حبيب شلبى, الظاهر, القاهرة",528e6b3700f926918169043f6969e861,1,2026-05-12T20:05:52.568625+00:00,"category: Cars Parts & Accessories, city: Cairo, keyword: مصنع"
325,https://yellowpages.com.eg/en/profile/el-ekhlas-factory/184291,El Ekhlas Factory,مصنع الاخلاص,,,giza,,"02-3388-8904, 02-3388-8904",,,,"7 Abdel Azim El Tawil St., El haram, Giza                                                    Above El Saleheen Mosque","7 ش عبد العظيم الطويل, الهرم, الجيزة                                                    اعلى مسجد الصالحين",1946379725a8068931bd5fbc5f5dcf90,1,2026-05-12T20:05:14.606612+00:00,"category: Clothing Factories & Wholesalers, city: Giza, keyword: مصنع"
323,https://yellowpages.com.eg/en/profile/el-ekhlas-factory/62429,El Ekhlas Factory,مصنع الاخلاص,,,cairo,,"02-2590-0678, 0122-5172-372",,,,"5 Hammam El Talat St.  Off Azhar St., Azhar, Cairo                                                    Behind Banque Misr","5 ش حمام التلات  متفرع من ش الازهر, الازهر, القاهرة                                                    خلف بنك مصر",30f38b4d84bbff785001c98a6bbc7334,1,2026-05-12T20:04:46.693100+00:00,"category: Clothing Factories & Wholesalers, city: Cairo, keyword: مصنع"
